"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"protein L-isoaspartyl O-methyltransferase"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	25	66	"gene_hgnc_entity"	"21841813"
"2"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	71	74	"gene_hgnc_entity"	"21841813"
"3"	"MDA-MB-231"	"Breast Cancer"	"mda-mb-231"	"484"	"D001943"	115	125	"cancer_type_entity_cell"	"21841813"
"4"	"Protein L-isoaspartyl O-methyltransferase"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	138	179	"gene_hgnc_entity"	"21841813"
"5"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	181	185	"gene_hgnc_entity"	"21841813"
"6"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	222	228	"cancer_type_entity_p"	"21841813"
"7"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	506	510	"gene_hgnc_entity"	"21841813"
"8"	"MDA-MB 231"	"Breast Cancer"	"mda-mb 231"	"484"	"D001943"	545	555	"cancer_type_entity_cell"	"21841813"
"9"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	578	591	"cancer_type_entity_p"	"21841813"
"10"	"MDA-MB-231"	"Breast Cancer"	"mda-mb-231"	"484"	"D001943"	602	612	"cancer_type_entity_cell"	"21841813"
"11"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	694	698	"gene_hgnc_entity"	"21841813"
"12"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	708	711	"gene_hgnc_entity"	"21841813"
"13"	"PD98059"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"4683"	"C093973"	722	729	"chemical_entity_p"	"21841813"
"14"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	878	882	"gene_hgnc_entity"	"21841813"
"15"	"Snail"	"SNAI1"	"SNAI1"	"HGNC:11128"	"6615"	922	927	"gene_hgnc_entity"	"21841813"
"16"	"Slug"	"SNAI2"	"SNAI2"	"HGNC:11094"	"6591"	929	933	"gene_hgnc_entity"	"21841813"
"17"	"matrix metalloproteinase 2"	"MMP2"	"MMP2"	"HGNC:7166"	"4313"	938	964	"gene_hgnc_entity"	"21841813"
"18"	"MMP-2"	"MMP2"	"MMP2"	"HGNC:7166"	"4313"	966	971	"gene_hgnc_entity"	"21841813"
"19"	"ERK1/2"	"erk1/2"	"erk1/2"	"9282"	"108478"	1046	1052	"gene_entity"	"21841813"
"20"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	1058	1061	"gene_hgnc_entity"	"21841813"
"21"	"PD98059"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"4683"	"C093973"	1072	1079	"chemical_entity_p"	"21841813"
"22"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	1147	1151	"gene_hgnc_entity"	"21841813"
"23"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	1168	1172	"gene_hgnc_entity"	"21841813"
"24"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	1210	1213	"gene_hgnc_entity"	"21841813"
"25"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	1268	1272	"gene_hgnc_entity"	"21841813"
"26"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	1277	1280	"gene_hgnc_entity"	"21841813"
"27"	"TGF-b"	"TGFB1"	"TGFB1"	"HGNC:11766"	"7040"	1338	1343	"gene_hgnc_entity"	"21841813"
"28"	"TNF-a"	"TNF"	"TNF"	"HGNC:11892"	"7124"	1359	1364	"gene_hgnc_entity"	"21841813"
"29"	"ERK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	1429	1432	"gene_hgnc_entity"	"21841813"
"30"	"PIMT"	"PCMT1"	"PCMT1"	"HGNC:8728"	"5110"	1437	1441	"gene_hgnc_entity"	"21841813"
"31"	"tumor necrosis factor"	"TNF"	"TNF"	"HGNC:11892"	"7124"	14	35	"gene_hgnc_entity"	"8626494"
"32"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	44	47	"gene_hgnc_entity"	"8626494"
"33"	"p44"	"IFI44"	"IFI44"	"HGNC:16938"	"10561"	48	51	"gene_hgnc_entity"	"8626494"
"34"	"sodium salicylate"	"Sodium Salicylate"	"Sodium Salicylate"	"55"	"D012980"	99	116	"chemical_entity_p"	"8626494"
"35"	"Tumor necrosis factor"	"TNF"	"TNF"	"HGNC:11892"	"7124"	118	139	"gene_hgnc_entity"	"8626494"
"36"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	141	144	"gene_hgnc_entity"	"8626494"
"37"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	161	164	"gene_hgnc_entity"	"8626494"
"38"	"p44"	"IFI44"	"IFI44"	"HGNC:16938"	"10561"	169	172	"gene_hgnc_entity"	"8626494"
"39"	"MAPK"	"mapk"	"mapk"	"9282"	"52783"	208	212	"gene_entity"	"8626494"
"40"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	257	260	"gene_hgnc_entity"	"8626494"
"41"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	292	295	"gene_hgnc_entity"	"8626494"
"42"	"p42 MAPK"	"MAPK1"	"MAPK1"	"HGNC:6871"	"5594"	306	314	"gene_hgnc_entity"	"8626494"
"43"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	362	365	"gene_hgnc_entity"	"8626494"
"44"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	376	379	"gene_hgnc_entity"	"8626494"
"45"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	407	410	"gene_hgnc_entity"	"8626494"
"46"	"TNFR"	"TNFRSF1A"	"TNFRSF1A"	"HGNC:11916"	"7132"	421	425	"gene_hgnc_entity"	"8626494"
"47"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	480	483	"gene_hgnc_entity"	"8626494"
"48"	"TNFR"	"TNFRSF1A"	"TNFRSF1A"	"HGNC:11916"	"7132"	529	533	"gene_hgnc_entity"	"8626494"
"49"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	559	562	"gene_hgnc_entity"	"8626494"
"50"	"p44"	"IFI44"	"IFI44"	"HGNC:16938"	"10561"	563	566	"gene_hgnc_entity"	"8626494"
"51"	"MAPK"	"mapk"	"mapk"	"9282"	"52783"	567	571	"gene_entity"	"8626494"
"52"	"TNFR"	"TNFRSF1A"	"TNFRSF1A"	"HGNC:11916"	"7132"	635	639	"gene_hgnc_entity"	"8626494"
"53"	"MAPK"	"mapk"	"mapk"	"9282"	"52783"	643	647	"gene_entity"	"8626494"
"54"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	768	771	"gene_hgnc_entity"	"8626494"
"55"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	775	778	"gene_hgnc_entity"	"8626494"
"56"	"p44"	"IFI44"	"IFI44"	"HGNC:16938"	"10561"	779	782	"gene_hgnc_entity"	"8626494"
"57"	"MAPK"	"mapk"	"mapk"	"9282"	"52783"	783	787	"gene_entity"	"8626494"
"58"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	959	962	"gene_hgnc_entity"	"8626494"
"59"	"p44 MAPK"	"MAPK3"	"MAPK3"	"HGNC:6877"	"5595"	963	971	"gene_hgnc_entity"	"8626494"
"60"	"TNF"	"TNF"	"TNF"	"HGNC:11892"	"7124"	986	989	"gene_hgnc_entity"	"8626494"
"61"	"MAPK"	"mapk"	"mapk"	"9282"	"52783"	1010	1014	"gene_entity"	"8626494"
"62"	"p42"	"CDK20"	"CDK20"	"HGNC:21420"	"23552"	1053	1056	"gene_hgnc_entity"	"8626494"
"63"	"p44 MAPK"	"MAPK3"	"MAPK3"	"HGNC:6877"	"5595"	1057	1065	"gene_hgnc_entity"	"8626494"
