"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	137	142	"cancer_type_entity_p"	"18272284"
"2"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	302	307	"cancer_type_entity_p"	"18272284"
"3"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	417	422	"cancer_type_entity_p"	"18272284"
"4"	"vascular endothelial growth factor"	"vascular endothelial growth factor"	"vascular endothelial growth factor"	"18016"	"101818"	652	686	"gene_entity"	"18272284"
"5"	"VEGF"	"vegf"	"vegf"	"18016"	"101816"	688	692	"gene_entity"	"18272284"
"6"	"ERK"	"erk"	"erk"	"9282"	"52718"	728	731	"gene_entity"	"18272284"
"7"	"PD98059"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"4683"	"C093973"	749	756	"chemical_entity_p"	"18272284"
"8"	"ERK"	"erk"	"erk"	"9282"	"52718"	758	761	"gene_entity"	"18272284"
"9"	"ERK"	"erk"	"erk"	"9282"	"52718"	924	927	"gene_entity"	"18272284"
"10"	"PD98059"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one"	"4683"	"C093973"	945	952	"chemical_entity_p"	"18272284"
"11"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1055	1060	"cancer_type_entity_p"	"18272284"
"12"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1234	1239	"cancer_type_entity_p"	"18272284"
"13"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1265	1270	"cancer_type_entity_p"	"18272284"
"14"	"Epigallocatechin Gallate"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	68	92	"chemical_entity_p"	"27645804"
"15"	"EGCG"	"epigallocatechin gallate"	"epigallocatechin gallate"	"5606"	"C045651"	94	98	"chemical_entity_p"	"27645804"
