"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	26	36	"chemical_entity_p"	"28970010"
"2"	"glucose-6-phosphate dehydrogenase"	"G6PD"	"G6PD"	"HGNC:4057"	"2539"	74	107	"gene_hgnc_entity"	"28970010"
"3"	"neuroblastoma"	"Neuroblastoma"	"Neuroblastoma"	"612"	"D009447"	126	139	"cancer_type_entity_p"	"28970010"
"4"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	434	439	"cancer_type_entity_p"	"28970010"
"5"	"glabridin"	"glabridin"	"glabridin"	"637"	"C107601"	622	631	"chemical_entity_p"	"28970010"
"6"	"licochalcones"	"licochalcone A"	"licochalcone A"	"5819"	"C070840"	633	646	"chemical_entity_p"	"28970010"
"7"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	651	661	"chemical_entity_p"	"28970010"
"8"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	767	777	"chemical_entity_p"	"28970010"
"9"	"isoliquiritin"	"neoisoliquiritin"	"neoisoliquiritin"	"7888"	"C098467"	782	795	"chemical_entity_p"	"28970010"
"10"	"neuroblastoma"	"Neuroblastoma"	"Neuroblastoma"	"612"	"D009447"	804	817	"cancer_type_entity_p"	"28970010"
"11"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	893	903	"chemical_entity_p"	"28970010"
"12"	"neuroblastoma"	"Neuroblastoma"	"Neuroblastoma"	"612"	"D009447"	938	951	"cancer_type_entity_p"	"28970010"
"13"	"isoliquiritin"	"neoisoliquiritin"	"neoisoliquiritin"	"7888"	"C098467"	994	1007	"chemical_entity_p"	"28970010"
"14"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	1121	1131	"chemical_entity_p"	"28970010"
"15"	"liquiritin"	"liquiritin"	"liquiritin"	"6166"	"C512196"	1263	1273	"chemical_entity_p"	"28970010"
"16"	"glucose-6-phosphate dehydrogenase"	"G6PD"	"G6PD"	"HGNC:4057"	"2539"	1407	1440	"gene_hgnc_entity"	"28970010"
