"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"chalcone"	"Chalcones"	"Chalcones"	"110"	"D047188"	185	193	"chemical_entity_p"	"28711020"
"2"	"syn"	"SYNM"	"SYNM"	"HGNC:24466"	"23336"	714	717	"gene_hgnc_entity"	"28711020"
"3"	"SERCA2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	28	34	"gene_hgnc_entity"	"26608678"
"4"	"colorectal cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	77	94	"cancer_type_entity_p"	"26608678"
"5"	"colorectal cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	169	186	"cancer_type_entity_p"	"26608678"
"6"	"curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	332	340	"chemical_entity_p"	"26608678"
"7"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	397	409	"cancer_type_entity_p"	"26608678"
"8"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	485	490	"cancer_type_entity_p"	"26608678"
"9"	"SERCA) 2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	615	623	"gene_hgnc_entity"	"26608678"
"10"	"SERCA2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	706	712	"gene_hgnc_entity"	"26608678"
"11"	"SERCA2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	795	801	"gene_hgnc_entity"	"26608678"
"12"	"SERCA2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	900	906	"gene_hgnc_entity"	"26608678"
"13"	"SERCA2"	"ATP2A2"	"ATP2A2"	"HGNC:812"	"488"	1228	1234	"gene_hgnc_entity"	"26608678"
"14"	"colorectal cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	1303	1320	"cancer_type_entity_p"	"26608678"
"15"	"pterocarpan"	"Pterocarpans"	"Pterocarpans"	"128"	"D036343"	90	101	"chemical_entity_p"	"20493896"
"16"	"glyceollin"	"glyceollin"	"glyceollin"	"7775"	"C017343"	218	228	"chemical_entity_p"	"20493896"
"17"	"glyceollin I"	"glyceollin"	"glyceollin"	"7775"	"C017343"	401	413	"chemical_entity_p"	"20493896"
"18"	"(-)-glyceollin I"	"glyceollin"	"glyceollin"	"7775"	"C017343"	455	471	"chemical_entity_p"	"20493896"
"19"	"glyceollin"	"glyceollin"	"glyceollin"	"7775"	"C017343"	582	592	"chemical_entity_p"	"20493896"
"20"	"MCF-7"	"Breast Cancer"	"mcf-7"	"484"	"D001943"	741	746	"cancer_type_entity_cell"	"20493896"
"21"	"ERalpha"	"ESR1"	"ESR1"	"HGNC:3467"	"2099"	815	822	"gene_hgnc_entity"	"20493896"
"22"	"ERbeta"	"ESR2"	"ESR2"	"HGNC:3468"	"2100"	827	833	"gene_hgnc_entity"	"20493896"
"23"	"MCF-7"	"Breast Cancer"	"mcf-7"	"484"	"D001943"	859	864	"cancer_type_entity_cell"	"20493896"
"24"	"(+)-glyceollin I"	"glyceollin"	"glyceollin"	"7775"	"C017343"	891	907	"chemical_entity_p"	"20493896"
"25"	"(-)-glyceollin"	"glyceollin"	"glyceollin"	"7775"	"C017343"	958	972	"chemical_entity_p"	"20493896"
"26"	"(+)-glyceollin"	"glyceollin"	"glyceollin"	"7775"	"C017343"	1092	1106	"chemical_entity_p"	"20493896"
"27"	"ERalpha"	"ESR1"	"ESR1"	"HGNC:3467"	"2099"	1151	1158	"gene_hgnc_entity"	"20493896"
"28"	"ERbeta"	"ESR2"	"ESR2"	"HGNC:3468"	"2100"	1163	1169	"gene_hgnc_entity"	"20493896"
"29"	"(-)-glyceollin I"	"glyceollin"	"glyceollin"	"7775"	"C017343"	1250	1266	"chemical_entity_p"	"20493896"
"30"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	1508	1521	"cancer_type_entity_p"	"20493896"
"31"	"ERK-1"	"MAPK3"	"MAPK3"	"HGNC:6877"	"5595"	21	26	"gene_hgnc_entity"	"15531431"
