"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	65	70	"cancer_type_entity_p"	"2762735"
"2"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	144	149	"cancer_type_entity_p"	"2762735"
"3"	"adenocarcinoma"	"Adenocarcinoma"	"Adenocarcinoma"	"1274"	"D000230"	175	189	"cancer_type_entity_p"	"2762735"
"4"	"adenocarcinomas of the colon"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	209	237	"cancer_type_entity_p"	"2762735"
"5"	"HT-29"	"Colon Cancer"	"ht-29"	"494"	"D003110"	260	265	"cancer_type_entity_cell"	"2762735"
"6"	"tumors"	"Cancers"	"Cancers"	"10007"	"D009369"	531	537	"cancer_type_entity_p"	"2762735"
"7"	"HT-29"	"Colon Cancer"	"ht-29"	"494"	"D003110"	737	742	"cancer_type_entity_cell"	"2762735"
"8"	"HT-29"	"Colon Cancer"	"ht-29"	"494"	"D003110"	818	823	"cancer_type_entity_cell"	"2762735"
"9"	"tumors"	"Cancers"	"Cancers"	"10007"	"D009369"	1018	1024	"cancer_type_entity_p"	"2762735"
"10"	"metastases"	"Neoplasm Metastasis"	"Neoplasm Metastasis"	"10000"	"D009362"	1169	1179	"cancer_type_entity_p"	"2762735"
"11"	"metastases"	"Neoplasm Metastasis"	"Neoplasm Metastasis"	"10000"	"D009362"	1256	1266	"cancer_type_entity_p"	"2762735"
"12"	"HT-29"	"Colon Cancer"	"ht-29"	"494"	"D003110"	1383	1388	"cancer_type_entity_cell"	"2762735"
"13"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1389	1394	"cancer_type_entity_p"	"2762735"
"14"	"colonic adenocarcinoma"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	1457	1479	"cancer_type_entity_p"	"2762735"
"15"	"Flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	0	12	"chemical_entity_p"	"15867255"
"16"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	28	34	"cancer_type_entity_p"	"15867255"
"17"	"flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	120	132	"chemical_entity_p"	"15867255"
"18"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	217	223	"cancer_type_entity_p"	"15867255"
"19"	"cancers"	"Cancers"	"Cancers"	"10007"	"D009369"	302	309	"cancer_type_entity_p"	"15867255"
"20"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	345	351	"cancer_type_entity_p"	"15867255"
"21"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	498	504	"cancer_type_entity_p"	"15867255"
"22"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	725	731	"cancer_type_entity_p"	"15867255"
"23"	"flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	802	814	"chemical_entity_p"	"15867255"
"24"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	892	898	"cancer_type_entity_p"	"15867255"
"25"	"tumor"	"Cancers"	"Cancers"	"10007"	"D009369"	1114	1119	"cancer_type_entity_p"	"15867255"
"26"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1281	1287	"cancer_type_entity_p"	"15867255"
"27"	"flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	1316	1328	"chemical_entity_p"	"15867255"
"28"	"flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	1494	1506	"chemical_entity_p"	"15867255"
"29"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1677	1683	"cancer_type_entity_p"	"15867255"
"30"	"flavopiridol"	"alvocidib"	"alvocidib"	"4634"	"C077990"	1769	1781	"chemical_entity_p"	"15867255"
"31"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1790	1796	"cancer_type_entity_p"	"15867255"
"32"	"Chafuroside B"	"3,4,11-trihydroxy-2-(hydroxymethyl)-8-(4-hydroxyphenyl)-3,4,4a,11b-tetrahydro-2H,10H-pyrano(2',3'-4,5)furo(3,2-g)chromen-10-one"	"3,4,11-trihydroxy-2-(hydroxymethyl)-8-(4-hydroxyphenyl)-3,4,4a,11b-tetrahydro-2H,10H-pyrano(2',3'-4,5)furo(3,2-g)chromen-10-one"	"6722"	"C510948"	0	13	"chemical_entity_p"	"24116222"
"33"	"polyphenol"	"Polyphenols"	"Polyphenols"	"96"	"D059808"	29	39	"chemical_entity_p"	"24116222"
"34"	"Chafuroside B"	"3,4,11-trihydroxy-2-(hydroxymethyl)-8-(4-hydroxyphenyl)-3,4,4a,11b-tetrahydro-2H,10H-pyrano(2',3'-4,5)furo(3,2-g)chromen-10-one"	"3,4,11-trihydroxy-2-(hydroxymethyl)-8-(4-hydroxyphenyl)-3,4,4a,11b-tetrahydro-2H,10H-pyrano(2',3'-4,5)furo(3,2-g)chromen-10-one"	"6722"	"C510948"	160	173	"chemical_entity_p"	"24116222"
