"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	30	40	"chemical_entity_p"	"14669262"
"2"	"E-selectin"	"SELE"	"SELE"	"HGNC:10718"	"6401"	44	54	"gene_hgnc_entity"	"14669262"
"3"	"tumor necrosis factor-alpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	122	149	"gene_hgnc_entity"	"14669262"
"4"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	208	218	"chemical_entity_p"	"14669262"
"5"	"TNF-alpha"	"TNF"	"TNF"	"HGNC:11892"	"7124"	222	231	"gene_hgnc_entity"	"14669262"
"6"	"E-selectin"	"SELE"	"SELE"	"HGNC:10718"	"6401"	243	253	"gene_hgnc_entity"	"14669262"
"7"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	327	337	"chemical_entity_p"	"14669262"
"8"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	347	357	"chemical_entity_p"	"14669262"
"9"	"fisetin"	"fisetin"	"fisetin"	"4502"	"C017875"	359	366	"chemical_entity_p"	"14669262"
"10"	"luteolin"	"Luteolin"	"Luteolin"	"117"	"D047311"	368	376	"chemical_entity_p"	"14669262"
"11"	"apigenin"	"Apigenin"	"Apigenin"	"114"	"D047310"	381	389	"chemical_entity_p"	"14669262"
"12"	"flavone"	"Flavones"	"flavone"	"113"	"D047309"	403	410	"chemical_entity_e"	"14669262"
"13"	"kaempferol"	"Kaempferols"	"Kaempferols"	"121"	"D044949"	413	423	"chemical_entity_p"	"14669262"
"14"	"quercetin"	"Quercetin"	"Quercetin"	"122"	"D011794"	428	437	"chemical_entity_p"	"14669262"
"15"	"flavonols"	"Flavonols"	"Flavonols"	"120"	"D044948"	439	448	"chemical_entity_p"	"14669262"
"16"	"eriodictyol"	"eriodictyol"	"eriodictyol"	"6066"	"C007619"	451	462	"chemical_entity_p"	"14669262"
"17"	"flavanones"	"Flavanones"	"Flavanones"	"111"	"D044950"	464	474	"chemical_entity_p"	"14669262"
"18"	"genistein"	"Genistein"	"Genistein"	"127"	"D019833"	477	486	"chemical_entity_p"	"14669262"
"19"	"isoflavones"	"Isoflavones"	"Isoflavones"	"125"	"D007529"	488	499	"chemical_entity_p"	"14669262"
"20"	"butein"	"butein"	"butein"	"5806"	"C040918"	505	511	"chemical_entity_p"	"14669262"
"21"	"chalcone"	"Chalcones"	"Chalcones"	"110"	"D047188"	513	521	"chemical_entity_p"	"14669262"
"22"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	590	600	"chemical_entity_p"	"14669262"
"23"	"flavonoids"	"Flavonoids"	"Flavonoids"	"104"	"D005419"	770	780	"chemical_entity_p"	"14669262"
"24"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	301	307	"cancer_type_entity_p"	"29694905"
"25"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	367	373	"cancer_type_entity_p"	"29694905"
"26"	"carcinogenesis"	"carcinogenesis"	"carcinogenesis"	"D063646"	"D063646"	460	474	"hallmark"	"29694905"
"27"	"inflammation"	"inflammation"	"inflammation"	"D007249"	"D007249"	757	769	"hallmark"	"29694905"
"28"	"aspirin"	"Aspirin"	"Aspirin"	"49"	"D001241"	784	791	"chemical_entity_p"	"29694905"
"29"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	1079	1085	"cancer_type_entity_p"	"29694905"
"30"	"MCF7"	"Breast Cancer"	"mcf7"	"484"	"D001943"	440	444	"cancer_type_entity_cell"	"28807229"
"31"	"A549"	"Lung Cancer"	"a-549"	"8865"	"D008175"	449	453	"cancer_type_entity_cell"	"28807229"
"32"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	454	460	"cancer_type_entity_p"	"28807229"
"33"	"HCT116"	"Colon Cancer"	"hct116"	"494"	"D003110"	656	662	"cancer_type_entity_cell"	"28807229"
"34"	"cancer"	"Cancers"	"Cancers"	"10007"	"D009369"	663	669	"cancer_type_entity_p"	"28807229"
"35"	"boronic-chalcone"	"Chalcones"	"Chalcones"	"110"	"D047188"	43	59	"chemical_entity_p"	"12825923"
"36"	"boronic-chalcone"	"Chalcones"	"Chalcones"	"110"	"D047188"	105	121	"chemical_entity_p"	"12825923"
"37"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	199	212	"cancer_type_entity_p"	"12825923"
"38"	"boronic-chalcones"	"Chalcones"	"Chalcones"	"110"	"D047188"	246	263	"chemical_entity_p"	"12825923"
"39"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	282	295	"cancer_type_entity_p"	"12825923"
"40"	"chalcones"	"Chalcones"	"Chalcones"	"110"	"D047188"	351	360	"chemical_entity_p"	"12825923"
"41"	"polyphenol"	"Polyphenols"	"Polyphenols"	"96"	"D059808"	114	124	"chemical_entity_p"	"28376392"
"42"	"AST"	"ast"	"ast"	"14978"	"85147"	495	498	"gene_entity"	"28376392"
"43"	"catalase"	"catalase"	"catalase"	"2308"	"12855"	780	788	"gene_entity"	"28376392"
"44"	"CAT"	"cat"	"cat"	"2308"	"12854"	790	793	"gene_entity"	"28376392"
"45"	"interleukin-1b"	"interleukin-1b"	"interleukin-1b"	"7606"	"43169"	1194	1208	"gene_entity"	"28376392"
"46"	"IL-1b"	"il-1b"	"il-1b"	"7606"	"43168"	1210	1215	"gene_entity"	"28376392"
