"pubtatot_term"	"db_term"	"db_equivalence"	"term_id"	"mesh_id"	"start_pos"	"end_pos"	"entity_type"	"entity_pmid"
"1"	"chlorophenols"	"Chlorophenols"	"Chlorophenols"	"16"	"D002733"	54	67	"chemical_entity_p"	"24973716"
"2"	"MCF-7"	"Breast Cancer"	"mcf-7"	"484"	"D001943"	71	76	"cancer_type_entity_cell"	"24973716"
"3"	"chlorophenols"	"Chlorophenols"	"Chlorophenols"	"16"	"D002733"	166	179	"chemical_entity_p"	"24973716"
"4"	"breast cancer"	"Breast Cancer"	"Breast Cancer"	"484"	"D001943"	192	205	"cancer_type_entity_p"	"24973716"
"5"	"MCF-7"	"Breast Cancer"	"mcf-7"	"484"	"D001943"	207	212	"cancer_type_entity_cell"	"24973716"
"6"	"cervical carcinoma"	"Cervical Cancer"	"Cervical Cancer"	"540"	"D002583"	218	236	"cancer_type_entity_p"	"24973716"
"7"	"chlorophenols"	"Chlorophenols"	"Chlorophenols"	"16"	"D002733"	289	302	"chemical_entity_p"	"24973716"
"8"	"chlorophenols"	"Chlorophenols"	"Chlorophenols"	"16"	"D002733"	732	745	"chemical_entity_p"	"24973716"
"9"	"chlorophenol"	"Chlorophenols"	"Chlorophenols"	"16"	"D002733"	1058	1070	"chemical_entity_p"	"24973716"
"10"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	0	8	"chemical_entity_p"	"23233214"
"11"	"colon carcinogenesis"	"colon carcinogenesis"	"colon carcinogenesis"	"D063646"	"D063646"	113	133	"hallmark"	"23233214"
"12"	"Curcumin"	"Curcumin"	"Curcumin"	"8"	"D003474"	135	143	"chemical_entity_p"	"23233214"
"13"	"CUR"	"Curcumin"	"Curcumin"	"8"	"D003474"	145	148	"chemical_entity_p"	"23233214"
"14"	"colon cancer"	"Colorectal Cancer"	"Colorectal Cancer"	"15585"	"D015179"	217	229	"cancer_type_entity_p"	"23233214"
"15"	"CUR"	"Curcumin"	"Curcumin"	"8"	"D003474"	546	549	"chemical_entity_p"	"23233214"
"16"	"iNOS"	"inos"	"inos"	"10720"	"61389"	681	685	"gene_entity"	"23233214"
"17"	"COX-2"	"cox-2"	"cox-2"	"13109"	"74449"	690	695	"gene_entity"	"23233214"
"18"	"iNOS"	"inos"	"inos"	"10720"	"61389"	794	798	"gene_entity"	"23233214"
"19"	"COX-2"	"cox-2"	"cox-2"	"13109"	"74449"	803	808	"gene_entity"	"23233214"
"20"	"CUR"	"Curcumin"	"Curcumin"	"8"	"D003474"	1228	1231	"chemical_entity_p"	"23233214"
